Active Weekly Options Summary as of 08/20/2014, , , , , 

      ,Weekly Options Summary for 08/29/2014 Expiration,          ,,      ,Weekly Options Summary for 08/22/2014 Expiration,          
SYMBOL,OPTION NAME,EFFECTIVE DATE,,SYMBOL,OPTION NAME,EFFECTIVE DATE
DIA   ,SPDR DJIA ETF TRUST                               ,08/13/2012,,DIA   ,SPDR DJIA ETF TRUST                               ,08/13/2012
DIS   ,WALT DISNEY COMPANY                               ,02/13/2013,,DIS   ,WALT DISNEY COMPANY                               ,02/13/2013
DISH  ,DISH NETWORK CORP                                 ,09/04/2013,,DISH  ,DISH NETWORK CORP                                 ,09/04/2013
DJX   ,CBOE DOW JONES INDUSTRIAL                         ,07/01/2010,,DJX   ,CBOE DOW JONES INDUSTRIAL                         ,07/01/2010
DNDN  ,DENDREON CORP.                                    ,06/19/2012,,DNDN  ,DENDREON CORP.                                    ,06/19/2012
DOW   ,DOW CHEMICAL                                      ,05/07/2013,,DOW   ,DOW CHEMICAL                                      ,05/07/2013
DRYS  ,DRY SHIPS INC                                     ,01/07/2014,,DRYS  ,DRY SHIPS INC                                     ,01/07/2014
DTV   ,DIRECTV COMMON STOCK                              ,05/27/2014,,DTV   ,DIRECTV COMMON STOCK                              ,05/27/2014
DUST  ,DIREXION DAILY GOLD MINERS BEAR 3X SHARES         ,09/04/2013,,DUST  ,DIREXION DAILY GOLD MINERS BEAR 3X SHARES         ,09/04/2013
DVN   ,DEVON ENERGY CORP.                                ,05/21/2013,,DVN   ,DEVON ENERGY CORP.                                ,05/21/2013
DXJ   ,WISDOMTREE JAPAN HEDGED EQUITY FUND               ,08/21/2013,,DXJ   ,WISDOMTREE JAPAN HEDGED EQUITY FUND               ,08/21/2013
EA    ,ELECTRONIC ARTS                                   ,10/02/2013,,EA    ,ELECTRONIC ARTS                                   ,10/02/2013
EBAY  ,EBAY INC                                          ,12/05/2012,,EBAY  ,EBAY INC                                          ,12/05/2012
EEM   ,ISHARES MSCI EMERGING MARKETS ETF                 ,06/18/2010,,EEM   ,ISHARES MSCI EMERGING MARKETS ETF                 ,06/18/2010
EFA   ,ISHARES MSCI EAFE ETF                             ,06/19/2012,,EFA   ,ISHARES MSCI EAFE ETF                             ,06/19/2012
EMC   ,EMC CORP                                          ,07/30/2012,,EMC   ,EMC CORP                                          ,07/30/2012
EOG   ,EOG RESOURCES  INC                                ,09/04/2013,,EOG   ,EOG RESOURCES  INC                                ,09/04/2013
EPI   ,WISDOMTREE INDIA EARNING FUND                     ,02/24/2014,,EPI   ,WISDOMTREE INDIA EARNING FUND                     ,02/24/2014
ESRX  ,EXPRESS SCRIPTS HOLDING COMPANY                   ,12/18/2013,,ESRX  ,EXPRESS SCRIPTS HOLDING COMPANY                   ,12/18/2013
ETFC  ,E*TRADE FINANCIAL CORPORATION                     ,04/09/2014,,ETFC  ,E*TRADE FINANCIAL CORPORATION                     ,04/09/2014
ETN   ,EATON CORPORATION  PLC                            ,09/04/2013,,ETN   ,EATON CORPORATION  PLC                            ,09/04/2013
EUU   ,ISE FX SPOT EURUSD                                ,05/14/2012,,EUU   ,ISE FX SPOT EURUSD                                ,05/14/2012
EWJ   ,ISHARES MSCI JAPAN ETF                            ,07/30/2012,,EWJ   ,ISHARES MSCI JAPAN ETF                            ,07/30/2012
EWW   ,ISHARES MSCI MEXICO CAPPED ETF                    ,12/04/2013,,EWW   ,ISHARES MSCI MEXICO CAPPED ETF                    ,12/04/2013
EWZ   ,ISHARES MSCI BRAZIL CAPPED ETF                    ,02/17/2011,,EWZ   ,ISHARES MSCI BRAZIL CAPPED ETF                    ,02/17/2011
EXPE  ,EXPEDIA  INC                                      ,12/30/2013,,EXPE  ,EXPEDIA  INC                                      ,12/30/2013
EXXI  ,ENERGY XXI (BERMUDA) LTD                          ,12/11/2013,,EXXI  ,ENERGY XXI (BERMUDA) LTD                          ,12/11/2013
F     ,FORD MOTOR COMPANY                                ,07/02/2010,,F     ,FORD MOTOR COMPANY                                ,07/02/2010
FAS   ,DIREXIONSHARES DAILY FINANCIAL BULL 3X SHARES     ,07/15/2010,,FAS   ,DIREXIONSHARES DAILY FINANCIAL BULL 3X SHARES     ,07/15/2010
FAZ   ,DIREXIONSHARES DAILY  FINANCIAL BEAR 3X SHARES    ,11/24/2010,,FAZ   ,DIREXIONSHARES DAILY  FINANCIAL BEAR 3X SHARES    ,11/24/2010
FB    ,FACEBOOK INC.                                     ,05/29/2012,,FB    ,FACEBOOK INC.                                     ,05/29/2012
FCX   ,FREEPORT-MCMORAN INC.                             ,02/17/2011,,FCX   ,FREEPORT-MCMORAN INC.                             ,02/17/2011
FDO   ,FAMILY DOLLAR STORES                              ,08/20/2014,,FDO   ,FAMILY DOLLAR STORES                              ,12/11/2013
FDX   ,FEDEX CORP                                        ,02/13/2013,,FDX   ,FEDEX CORP                                        ,02/13/2013
FEYE  ,FIREEYE INC.                                      ,03/10/2014,,FEYE  ,FIREEYE INC.                                      ,03/10/2014
FFIV  ,F5 NETWORKS  INC.                                 ,06/19/2012,,FFIV  ,F5 NETWORKS  INC.                                 ,06/19/2012
FLR   ,FLUOR CORP                                        ,12/11/2013,,FLR   ,FLUOR CORP                                        ,12/11/2013
FOSL  ,FOSSIL GROUP  INC.                                ,01/22/2014,,FOSL  ,FOSSIL GROUP  INC.                                ,01/22/2014
FSLR  ,FIRST SOLAR  INC.                                 ,08/04/2011,,FSLR  ,FIRST SOLAR  INC.                                 ,08/04/2011
FXE   ,CURRENCYSHARES EURO TRUST                         ,11/22/2011,,FXE   ,CURRENCYSHARES EURO TRUST                         ,11/22/2011
FXI   ,ISHARES CHINA LARGE-CAP ETF                       ,09/29/2011,,FXI   ,ISHARES CHINA LARGE-CAP ETF                       ,09/29/2011
FXY   ,CURRENCYSHARES JAPANESE YEN TRUST                 ,12/04/2013,,FXY   ,CURRENCYSHARES JAPANESE YEN TRUST                 ,12/04/2013
GALE  ,GALENA BIOPHARMA INC.                             ,03/17/2014,,GALE  ,GALENA BIOPHARMA INC.                             ,03/17/2014
GDX   ,THE MARKET VECTORS - GOLD MINERS ETF              ,07/02/2010,,GDX   ,THE MARKET VECTORS - GOLD MINERS ETF              ,07/02/2010
GDXJ  ,MARKET VECTORS JUNIOR GOLD MINERS ETF             ,09/04/2013,,GDXJ  ,MARKET VECTORS JUNIOR GOLD MINERS ETF             ,09/04/2013
GE    ,GENERAL ELECTRIC                                  ,07/29/2010,,GE    ,GENERAL ELECTRIC                                  ,07/29/2010
GG    ,GOLDCORP INC                                      ,04/29/2013,,GG    ,GOLDCORP INC                                      ,04/29/2013
GILD  ,GILEAD SCIENCES  INC.                             ,02/11/2013,,GILD  ,GILEAD SCIENCES  INC.                             ,02/11/2013
GLD   ,SPDR GOLD TRUST                                   ,06/18/2010,,GLD   ,SPDR GOLD TRUST                                   ,06/18/2010
GLD7  ,SPDR GOLD TRUST (10-SHARE MINI OPTION)            ,03/18/2013,,GLD7  ,SPDR GOLD TRUST (10-SHARE MINI OPTION)            ,03/18/2013
GLW   ,CORNING INCORPORATED                              ,09/04/2013,,GLW   ,CORNING INCORPORATED                              ,09/04/2013
GM    ,GENERAL MOTORS CO.                                ,12/02/2010,,GM    ,GENERAL MOTORS CO.                                ,12/02/2010
GMCR  ,KEURIG GREEN MOUNTAIN  INC.                       ,09/29/2011,,GMCR  ,KEURIG GREEN MOUNTAIN  INC.                       ,09/29/2011
GME   ,GAMESTOP CORP CL A (HOLDING CO)                   ,04/29/2013,,GME   ,GAMESTOP CORP CL A (HOLDING CO)                   ,04/29/2013
GNW   ,GENWORTH FINANCIAL  INC. (HOLDING COMPANY)        ,09/04/2013,,GNW   ,GENWORTH FINANCIAL  INC. (HOLDING COMPANY)        ,09/04/2013
GOOG  ,GOOGLE  INC CLASS C                               ,07/02/2010,,GOOG  ,GOOGLE  INC CLASS C                               ,07/02/2010
GOOGL ,GOOGLE  INC CLASS A                               ,04/03/2014,,GOOGL ,GOOGLE  INC CLASS A                               ,04/03/2014
GPRO  ,GOPRO INC                                         ,07/08/2014,,GPRO  ,GOPRO INC                                         ,07/08/2014
GPS   ,GAP INC                                           ,07/30/2012,,GPS   ,GAP INC                                           ,07/30/2012
GRPN  ,GROUPON INC                                       ,12/13/2011,,GRPN  ,GROUPON INC                                       ,12/13/2011
GS    ,GOLDMAN SACHS GROUP                               ,07/22/2010,,GS    ,GOLDMAN SACHS GROUP                               ,07/22/2010
GT    ,GOODYEAR T & R                                    ,12/04/2013,,GT    ,GOODYEAR T & R                                    ,12/04/2013
GTAT  ,GT ADVANCED TECHNOLOGIES  INC.                    ,07/02/2014,,GTAT  ,GT ADVANCED TECHNOLOGIES  INC.                    ,07/02/2014
GWPH  ,GW PHARMACEUTICALS PLC                            ,07/14/2014,,GWPH  ,GW PHARMACEUTICALS PLC                            ,07/14/2014
HAL   ,HALLIBURTON CO                                    ,07/14/2011,,HAL   ,HALLIBURTON CO                                    ,07/14/2011
HCA   ,HCA HOLDINGS  INC.                                ,12/11/2013,,HCA   ,HCA HOLDINGS  INC.                                ,12/11/2013
HD    ,HOME DEPOT INC                                    ,09/29/2011,,HD    ,HOME DEPOT INC                                    ,09/29/2011
HES   ,HESS CORPORATION                                  ,02/13/2013,,HES   ,HESS CORPORATION                                  ,02/13/2013
HFC   ,HOLLYFRONTIER CORPORATION                         ,12/18/2013,,HFC   ,HOLLYFRONTIER CORPORATION                         ,12/18/2013
HIG   ,HARTFORD FINANCIAL SERVICES                       ,06/09/2014,,HIG   ,HARTFORD FINANCIAL SERVICES                       ,06/09/2014
HLF   ,HERBALIFE LTD                                     ,07/25/2012,,HLF   ,HERBALIFE LTD                                     ,07/25/2012
HPQ   ,HEWLETT PACKARD                                   ,09/29/2011,,HPQ   ,HEWLETT PACKARD                                   ,09/29/2011
HUM   ,HUMANA                                            ,12/31/2013,,HUM   ,HUMANA                                            ,12/31/2013
HYG   ,ISHARES IBOXX $ HIGH YIELD CORPORATE BOND ETF     ,08/28/2013,,HYG   ,ISHARES IBOXX $ HIGH YIELD CORPORATE BOND ETF     ,08/28/2013
IBB   ,ISHARES NASDAQ BIOTECHNOLOGY ETF                  ,05/06/2014,,IBB   ,ISHARES NASDAQ BIOTECHNOLOGY ETF                  ,05/06/2014
IBM   ,INTL BUSINESS MACHINE                             ,10/28/2010,,IBM   ,INTL BUSINESS MACHINE                             ,10/28/2010
ICPT  ,INTERCEPT PHARMACEUTICALS  INC.                   ,01/22/2014,,ICPT  ,INTERCEPT PHARMACEUTICALS  INC.                   ,01/22/2014
INTC  ,INTEL CORPORATION                                 ,02/17/2011,,INTC  ,INTEL CORPORATION                                 ,02/17/2011
INVN  ,INVENSENSE  INC.                                  ,12/18/2013,,INVN  ,INVENSENSE  INC.                                  ,12/18/2013
IOC   ,INTEROIL CORPORATION                              ,07/25/2012,,IOC   ,INTEROIL CORPORATION                              ,07/25/2012
IP    ,INTL PAPER                                        ,04/16/2013,,IP    ,INTL PAPER                                        ,04/16/2013
ISIS  ,ISIS PHARMACEUTICALS                              ,06/09/2014,,ISIS  ,ISIS PHARMACEUTICALS                              ,06/09/2014
ISRG  ,INTUITIVE SURGICAL  INC.                          ,02/25/2013,,ISRG  ,INTUITIVE SURGICAL  INC.                          ,02/25/2013
ITB   ,ISHARES U.S. HOME CONSTRUCTION ETF                ,12/04/2013,,ITB   ,ISHARES U.S. HOME CONSTRUCTION ETF                ,12/04/2013
ITMN  ,INTERMUNE INC.                                    ,07/15/2014,,ITMN  ,INTERMUNE INC.                                    ,07/15/2014
IWM   ,ISHARES RUSSELL 2000 ETF                          ,06/18/2010,,IWM   ,ISHARES RUSSELL 2000 ETF                          ,06/18/2010
IYR   ,ISHARES U.S. REAL ESTATE ETF                      ,08/28/2013,,IYR   ,ISHARES U.S. REAL ESTATE ETF                      ,08/28/2013
JCP   ,J C PENNY                                         ,01/30/2012,,JCP   ,J C PENNY                                         ,01/30/2012
JD    ,JD.COM INC                                        ,06/25/2014,,JD    ,JD.COM INC                                        ,06/25/2014
JNJ   ,JOHNSON & JOHNSON                                 ,09/22/2011,,JNJ   ,JOHNSON & JOHNSON                                 ,09/22/2011
JNPR  ,JUNIPER NETWORKS INC.                             ,12/18/2013,,JNPR  ,JUNIPER NETWORKS INC.                             ,12/18/2013
JOY   ,JOY GLOBAL INC.                                   ,12/13/2011,,JOY   ,JOY GLOBAL INC.                                   ,12/13/2011
JPM   ,JPMORGAN CHASE & CO                               ,12/23/2010,,JPM   ,JPMORGAN CHASE & CO                               ,12/23/2010
KGC   ,KINROSS GOLD CORPORATION                          ,09/04/2013,,KGC   ,KINROSS GOLD CORPORATION                          ,09/04/2013
KO    ,COCA-COLA COMPANY                                 ,10/06/2011,,KO    ,COCA-COLA COMPANY                                 ,10/06/2011
KORS  ,MICHAEL KORS HOLDINGS LTD                         ,02/13/2013,,KORS  ,MICHAEL KORS HOLDINGS LTD                         ,02/13/2013
KRE   ,SPDR S&P REGIONAL BANKING ETF                     ,06/25/2014,,KRE   ,SPDR S&P REGIONAL BANKING ETF                     ,06/25/2014
KSU   ,KANSAS CITY SOUTHERN                              ,06/25/2014,,KSU   ,KANSAS CITY SOUTHERN                              ,06/25/2014
LLY   ,ELI LILLY & CO                                    ,02/13/2013,,LLY   ,ELI LILLY & CO                                    ,02/13/2013
LNG   ,CHENIERE ENERGY INC                               ,08/21/2013,,LNG   ,CHENIERE ENERGY INC                               ,08/21/2013
LNKD  ,LINKEDIN CORP.                                    ,11/21/2011,,LNKD  ,LINKEDIN CORP.                                    ,11/21/2011
LO    ,LORILLARD  INC.                                   ,07/14/2014,,LO    ,LORILLARD  INC.                                   ,07/14/2014
LULU  ,LULULEMON ATHLETICA INC.                          ,06/19/2012,,LULU  ,LULULEMON ATHLETICA INC.                          ,06/19/2012
LVS   ,LAS VEGAS SANDS CORP                              ,11/18/2010,,LVS   ,LAS VEGAS SANDS CORP                              ,11/18/2010
MA    ,MASTERCARD  INC. CLASS A                          ,09/29/2011,,MA    ,MASTERCARD  INC. CLASS A                          ,09/29/2011
MBI   ,MBIA INC.                                         ,09/04/2013,,MBI   ,MBIA INC.                                         ,09/04/2013
MCD   ,MCDONALDS CORP                                    ,10/06/2011,,MCD   ,MCDONALDS CORP                                    ,10/06/2011
MCP   ,MOLYCORP  INC.                                    ,03/03/2011,,MCP   ,MOLYCORP  INC.                                    ,03/03/2011
MDT   ,MEDTRONIC INC                                     ,12/11/2013,,MDT   ,MEDTRONIC INC                                     ,12/11/2013
MDY   ,SPDR S&P MIDCAP 400 ETF TRUST                     ,12/11/2013,,MDY   ,SPDR S&P MIDCAP 400 ETF TRUST                     ,12/11/2013
MET   ,METLIFE  INC.                                     ,08/27/2012,,MET   ,METLIFE  INC.                                     ,08/27/2012
MGM   ,MGM RESORTS INTERNATIONAL                         ,09/22/2011,,MGM   ,MGM RESORTS INTERNATIONAL                         ,09/22/2011
MMM   ,3M                                                ,10/06/2011,,MMM   ,3M                                                ,10/06/2011
MNK   ,MALLINCKRODT PLC                                  ,04/09/2014,,MNK   ,MALLINCKRODT PLC                                  ,04/09/2014
MNKD  ,MANNKIND CORPORATION                              ,07/15/2013,,MNKD  ,MANNKIND CORPORATION                              ,07/15/2013
